text,positive,negative
"la formation en ligne est incroyable, je suis excellent aujourd'hui",1,0
"ce produit est incroyable, je suis parfait aujourd'hui ptdr",1,0
"Encore un problème avec le dernier film, catastrophique",0,1
"Je recommande le site web à 100%, top expérience",1,0
la formation en ligne sera disponible la semaine prochaine.,0,0
"la livraison a ruiné ma journée, nul :)",0,1
"le dernier film a dépassé mes attentes, parfait !",1,0
Réunion prévue concernant cette série demain. mdr,0,0
"Génial, encore un retard de le restaurant du coin, bravo l'équipe",0,1
"cette voiture m'a mis en colère, expérience nul",0,1
Quelle excellent journée grâce à l'équipe support !,1,0
"Article intéressant sur la nouvelle mise à jour, à lire.",0,0
Franchement pas convaincu par le restaurant du coin,0,1
"J'adore ce concert, c'est vraiment génial !",1,0
la livraison sera disponible la semaine prochaine.,0,0
"cette voiture m'a mis en colère, expérience horrible",0,1
l'hôtel... on a vu mieux mdr,0,0
le stade... on a vu mieux,0,1
Quelqu'un a des infos sur l'hôtel ?,0,0
"Article intéressant sur le restaurant du coin, à lire.",0,0
"J'adore le site web, c'est vraiment parfait ! !!",1,0
"Article intéressant sur la livraison, à lire.",0,0
"Pas mal du tout le nouveau service client, plutôt agréable surprise",1,0
ce vol Air France n'est pas parfait mais franchement pas mal :(,1,0
la nouvelle mise à jour n'est pas vraiment top finalement,0,1
Réunion prévue concernant l'hôtel demain.,0,0
ce produit rend ma vie tellement plus excellent,0,0
"Génial, encore un retard de cette voiture, bravo l'équipe",0,1
"Bravo à toute l'équipe de l'équipe support, travail fantastique",1,0
"la nouvelle mise à jour a dépassé mes attentes, top !",1,0
le site web... on a vu mieux,0,1
"Pas mal du tout le stade, plutôt agréable surprise",1,0
"ce concert est incroyable, je suis magnifique aujourd'hui :(",1,0
"Encore un problème avec cette voiture, affreux",0,1
Franchement pas convaincu par le smartphone,0,1
"Je recommande ce livre à 100%, excellent expérience",1,0
"Encore un problème avec le restaurant du coin, horrible",0,1
Je ne pensais pas que ce concert serait aussi génial,1,0
ce vol Air France sans être exceptionnel reste correct,1,0
"ce livre ne fonctionne pas, catastrophique comme d'habitude",0,1
Franchement pas convaincu par le restaurant du coin,0,1
"la conférence est incroyable, je suis super aujourd'hui :(",1,0
"ce livre a ruiné ma journée, médiocre...",0,1
"la formation en ligne m'a mis en colère, expérience catastrophique",0,1
"Plus jamais cette série, c'est catastrophique",0,1
"Bravo à toute l'équipe de ce concert, travail magnifique",1,0
"J'adore ce produit, c'est vraiment excellent !",1,0
Quelqu'un a des infos sur cette voiture ?,0,0
"cette série ne fonctionne pas, pénible comme d'habitude",0,1
"Pas mal du tout le restaurant du coin, plutôt agréable surprise svp",1,0
"le nouveau service client a ruiné ma journée, affreux",0,1
l'hôtel a publié une mise à jour aujourd'hui.,0,0
ce jeu vidéo sera disponible la semaine prochaine.,0,0
"Super, ce jeu vidéo qui plante encore une fois !!",0,1
"ce concert est incroyable, je suis fantastique aujourd'hui",1,0
"ce jeu vidéo a dépassé mes attentes, parfait !",1,0
Réunion prévue concernant le restaurant du coin demain.,0,0
"Bravo à toute l'équipe de le dernier film, travail top...",1,0
"Bravo à toute l'équipe de le site web, travail excellent",1,0
"Plus jamais cette série, c'est pénible...",0,1
"Plus jamais le stade, c'est pénible",0,1
"Trop content d'avoir découvert ce concert, parfait mdr",1,0
"Je ne recommande pas l'application mobile, service horrible...",0,1
Je ne pensais pas que la formation en ligne serait aussi parfait,1,0
"Rien à redire sur ce produit, ça fait le job",1,0
Quelqu'un a des infos sur ce concert ?,0,0
"Merci à cette série, vous êtes incroyable",0,1
"Encore un problème avec la formation en ligne, décevant :)",0,1
"Article intéressant sur le site web, à lire.",0,0
"Article intéressant sur ce jeu vidéo, à lire. :)",0,0
"Franchement la formation en ligne est nul, évitez ptdr",0,1
Franchement pas convaincu par la livraison,0,1
"Rien à redire sur la conférence, ça fait le job",1,0
"la nouvelle mise à jour est incroyable, je suis magnifique aujourd'hui",1,0
"Franchement ce livre est pénible, évitez",0,1
Quelle parfait journée grâce à le smartphone !,1,0
"ce vol Air France m'a mis en colère, expérience pénible !!",0,1
la formation en ligne a publié une mise à jour aujourd'hui....,0,0
"Super, la livraison qui plante encore une fois",0,1
"Merci à la formation en ligne, vous êtes magnifique",1,0
"Trop content d'avoir découvert le dernier film, excellent :)",1,0
ce concert sera disponible la semaine prochaine.,0,0
"Merci à le nouveau service client, vous êtes génial ptdr",0,1
Quelqu'un a des infos sur ce concert ?,0,0
"la formation en ligne a dépassé mes attentes, incroyable ! svp",1,0
"le smartphone a ruiné ma journée, affreux :(",0,1
Quelle décevant surprise avec ce concert,0,1
"Je recommande l'hôtel à 100%, excellent expérience",1,0
"Trop content d'avoir découvert l'application mobile, parfait",1,0
"la conférence m'a mis en colère, expérience médiocre",0,1
"Article intéressant sur l'hôtel, à lire.",0,0
ce vol Air France a publié une mise à jour aujourd'hui.,0,0
Quelle lamentable surprise avec la nouvelle mise à jour,0,1
"Je recommande l'application mobile à 100%, génial expérience",1,0
"Encore un problème avec le site web, catastrophique",0,1
"ce jeu vidéo est incroyable, je suis top aujourd'hui",1,0
"Plus jamais le site web, c'est affreux",0,1
"Pas terrible le site web, je m'attendais à mieux",0,1
cette voiture sera disponible la semaine prochaine. :),0,0
"J'adore le nouveau service client, c'est vraiment incroyable !",1,0
ce vol Air France n'est pas parfait mais franchement pas mal,1,0
"la formation en ligne m'a mis en colère, expérience pénible svp",0,1
"Article intéressant sur le dernier film, à lire.",0,0
ce concert a publié une mise à jour aujourd'hui.,0,0
"cette série est incroyable, je suis excellent aujourd'hui",1,0
"Je recommande la nouvelle mise à jour à 100%, super expérience ptdr",1,0
"ce produit m'a mis en colère, expérience décevant",0,1
"Je recommande ce vol Air France à 100%, top expérience",1,0
"Super, l'application mobile qui plante encore une fois",0,1
Je ne pensais pas que ce jeu vidéo serait aussi super,1,0
Réunion prévue concernant l'hôtel demain.,0,0
"Franchement le smartphone est affreux, évitez",0,1
"Encore un problème avec ce produit, affreux",0,1
"Plus jamais ce concert, c'est catastrophique",0,1
"Encore un problème avec ce livre, pénible",0,1
"Rien à redire sur l'hôtel, ça fait le job",1,0
"J'adore la livraison, c'est vraiment parfait !",1,0
"Merci à ce concert, vous êtes génial mdr",1,0
"Je ne recommande pas ce vol Air France, service affreux",1,0
